Capital of France?,Paris
Longest river in the world?,Nile
Country with most people?,China
Tallest mountain on Earth?,Everest
Largest ocean?,Pacific
City of the Golden Gate Bridge?,San Francisco
Country with the most pyramids?,Egypt
Smallest continent?,Australia
Strait separating Europe and Asia?,Bosporus
Largest desert on Earth?,Antarctica
Country with the Amazon Rainforest?,Brazil
Mega-city in Japan?,Tokyo
Giant waterfall in South America?,Angel Falls
Land of the Rising Sun?,Japan
Capital of Australia?,Canberra
Country with the Great Barrier Reef?,Australia
Volcano in Italy?,Vesuvius
Longest wall in the world?,Great Wall of China
City on the Bosphorus Strait?,Istanbul
Largest island country?,Indonesia