Chemical symbol for gold?,Au
Smallest planet in our solar system?,Mercury
Human body's powerhouse?,Heart
Element essential for life?,Carbon
Earth's largest ocean?,Pacific
DNA's double helix discoverers?,Watson and Crick
Chemical formula for water?,H2O
Number of bones in the adult human body?,206
Lightest gas?,Hydrogen
Basic unit of life?,Cell
Planet known as the Red Planet?,Mars
Study of celestial bodies?,Astronomy
Largest mammal?,Blue Whale
Green pigment in plants?,Chlorophyll
Smallest particle?,Quark
Longest bone in the human body?,Femur
Speed of light in a vacuum?,299792 km/s
Gas essential for combustion?,Oxygen
Basic particle of an element?,Atom
Earth's natural satellite?,Moon